Location URL,Location Name,Car Name,Category,Seating Capacity,Doors,Large Bags,Small Bags,Transmission,Air Conditioning,Fuel Type,ACRISS Code,Supplier,Price,Price Note,Pickup,Dropoff,mileage policy,Minimum Driver age,Payment Methods,Search Link,Image File
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Chevrolet Traverse,Large,7,0,2,2,Automatic,Yes,,,,$ 49.91,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,Unlimited,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=2,Failed
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Chevrolet Traverse,SUV,7,0,2,2,Automatic,Yes,,,,$ 49.91,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,Unlimited,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=2,Failed
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Ford E350 Cargo,Van,2,0,1,1,Automatic,Yes,,,,$ 55.01,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,Unlimited,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=115,Failed
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Dodge Grand Caravan,People Carrier,7,0,1,2,Automatic,Yes,,,,$ 62.17,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,Unlimited,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=1,Failed
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Corolla Hatchback,Medium,5,4,1,1,Automatic,Yes,,,,$ 69.28,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,600 km,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=35,car_5_Corolla_Hatchback.jpg
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Kia Rio,Small,5,0,1,1,Automatic,Yes,,,,$ 77.09,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,600 km per rental,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=10,car_6_Kia_Rio.jpg
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,FORD MUSTANG,Convertible,4,2,2,1,Automatic,Yes,,,,$ 151.14,per day,19/10/2025 01:00:00,23/10/2025 01:00:00,Unlimited,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=1289623FB5364BF8B43860B3B1E755AC&searchResultId=438,car_7_FORD_MUSTANG.jpg
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,Kia Telluride,Premium,8,0,2,0,Automatic,Yes,,,,$ 205.27,per day,11/10/2025 11:00:00,14/10/2025 11:00:00,600 km per rental,18,Credit Cards only,https://www.stressfreecarrental.com/en/search-results?searchRef=C5AD54C4E1034628AE12AAD8877E6FD3&searchResultId=23,car_8_Kia_Telluride.jpg
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,MAZDA CX5,Intermediate,5,,2,1,Automatic,No,,,,,,29/09/2025 00:00:00,04/10/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,KIA SELTOS,Compact,5,,1,1,Automatic,No,,,,,,26/09/2025 00:00:00,06/10/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,CHEVROLET TRAX,Compact,5,,1,1,Automatic,No,,,,,,15/09/2025 00:00:00,25/09/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,KIA SPORTAGE,Intermediate,5,,2,1,Automatic,No,,,,,,25/09/2025 00:00:00,01/10/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,TOYOTA LANDCRUISER PRADO,Premium,7,,2,3,Automatic,No,,,,,,05/07/2025 00:00:00,02/09/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,KIA SELTOS,Compact,5,,1,1,Automatic,No,,,,,,18/09/2025 00:00:00,23/09/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,FORD FOCUS,Compact,5,,1,1,Automatic,No,,,,,,15/09/2025 00:00:00,21/09/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
https://www.stressfreecarrental.com/en/car-hire-locations/canada/ajax,Ajax,SEAT ARONA,Compact,5,,1,1,Manual,No,,,,,,14/09/2025 00:00:00,21/09/2025 00:00:00,Unlimited,18,Credit Cards only,,N/A
